"","Index","Latitude","Longitude","Climate","Population.Status","Weight","Height","Wing.Chord","Colour","Sex","Nesting.Site","Nesting.Height","Number.of.Eggs","Egg.Weight","Flock","Home.Range","Predator.Presence","Predator.Type"
"28","SI",60,100,"Continental","Native",33.21,12.02,6.54,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Avian"
"29","SI",60,100,"Continental","Native",32.7,13.01,6.69,"Black","Female","Shrub",67.68,1,2.89,"E","Large","Yes","Avian"
"30","SI",60,100,"Continental","Native",35.1,13.91,6.83,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Avian"
"31","SI",60,100,"Continental","Native",36.04,14.85,6.97,"Black","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"32","SI",60,100,"Continental","Native",33.08,13.39,6.75,"Black","Female","Shrub",50.85,0,NA,"C","Large","Yes","Avian"
"33","SI",60,100,"Continental","Native",35.07,13.88,6.82,"Black","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"34","SI",60,100,"Continental","Native",34.63,13.44,6.76,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Avian"
"35","SI",60,100,"Continental","Native",31.8,12.11,6.56,"Black","Female","Shrub",35.68,0,NA,"E","Large","Yes","Avian"
"36","SI",60,100,"Continental","Native",32.77,13.08,6.7,"Black","Female","Shrub",11.78,0,NA,"D","Small","Yes","Avian"
"37","SI",60,100,"Continental","Native",32.79,13.1,6.7,"Black","Female","Tree",1558.35,0,NA,"D","Small","Yes","Avian"
"38","SI",60,100,"Continental","Native",34.62,13.43,6.76,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Avian"
"39","SI",60,100,"Continental","Native",34.28,14.59,6.93,"Black","Female","Shrub",61.87,0,NA,"D","Small","Yes","Avian"
"40","SI",60,100,"Continental","Native",35.44,14.25,6.88,"Grey","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"41","SI",60,100,"Continental","Native",33.02,13.33,6.74,"Black","Female","Shrub",44.33,0,NA,"E","Large","Yes","Avian"
"42","SI",60,100,"Continental","Native",32.93,13.24,6.73,"Black","Female","Tree",1115.33,0,NA,"D","Small","Yes","Avian"
"43","SI",60,100,"Continental","Native",33.88,14.19,6.87,"Black","Female","Shrub",44.76,0,NA,"D","Small","Yes","Avian"
"44","SI",60,100,"Continental","Native",33.74,14.05,6.85,"Black","Female","Shrub",59.16,0,NA,"C","Large","Yes","Avian"
"45","SI",60,100,"Continental","Native",32.49,12.8,6.66,"Black","Female","Shrub",57.32,1,2.94,"C","Large","Yes","Avian"
"46","SI",60,100,"Continental","Native",32.47,12.78,6.66,"Black","Female","Shrub",53.91,0,NA,"D","Small","Yes","Avian"
"47","SI",60,100,"Continental","Native",35.04,13.86,6.82,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Avian"
"48","SI",60,100,"Continental","Native",35.45,14.26,6.88,"Black","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"49","SI",60,100,"Continental","Native",33.07,13.38,6.75,"Black","Female","Shrub",58.78,0,NA,"D","Small","Yes","Avian"
"50","SI",60,100,"Continental","Native",34.06,14.37,6.9,"Black","Female","Shrub",56.73,0,NA,"D","Small","Yes","Avian"
"51","SI",60,100,"Continental","Native",35.08,13.89,6.82,"Black","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"52","SI",60,100,"Continental","Native",32.57,12.88,6.67,"Black","Female","Shrub",46.12,1,3.04,"E","Large","Yes","Avian"
"53","SI",60,100,"Continental","Native",35.02,13.83,6.82,"Grey","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"54","SI",60,100,"Continental","Native",33.55,12.36,6.59,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Avian"
"55","SI",60,100,"Continental","Native",36.11,14.92,6.98,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Avian"
"56","SI",60,100,"Continental","Native",36.66,15.47,7.06,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Avian"
"57","SI",60,100,"Continental","Native",34.31,13.12,6.71,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Avian"
"58","SI",60,100,"Continental","Native",32.14,12.45,6.61,"Black","Female","Tree",712.84,1,3.24,"C","Large","Yes","Avian"
"59","SI",60,100,"Continental","Native",33.75,14.06,6.85,"Black","Female","Shrub",15.16,0,NA,"D","Small","Yes","Avian"
"60","SI",60,100,"Continental","Native",34.55,13.36,6.74,"Grey","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"61","SI",60,100,"Continental","Native",35.58,15.89,7.12,"Brown","Female","Shrub",54.3,0,NA,"E","Large","Yes","Avian"
"62","SI",60,100,"Continental","Native",34.64,13.45,6.76,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Avian"
"63","SI",60,100,"Continental","Native",35.37,14.18,6.87,"Black","Male",NA,NA,NA,NA,"C","Large","Yes","Avian"
"64","SI",60,100,"Continental","Native",34.71,13.52,6.77,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Avian"
"65","SI",60,100,"Continental","Native",32.44,12.75,6.65,"Black","Female","Shrub",44.16,0,NA,"D","Small","Yes","Avian"
"66","SI",60,100,"Continental","Native",34.87,13.68,6.79,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Avian"
"67","UK",54,-2,"Coastal","Native",31.69,12.65,6.65,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"68","UK",54,-2,"Coastal","Native",31.28,13.73,6.81,"Black","Female","Tree",686.08,1,2.65,"D","Large","Yes","Non-Avian"
"69","UK",54,-2,"Coastal","Native",32.68,15.13,7.02,"Black","Female","Tree",1064.7,2,2.86,"C","Medium","Yes","Non-Avian"
"70","UK",54,-2,"Coastal","Native",31.46,12.42,6.61,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"71","UK",54,-2,"Coastal","Native",31.01,13.47,6.77,"Brown","Female","Tree",1555.75,3,3.14,"E","Small","Yes","Non-Avian"
"72","UK",54,-2,"Coastal","Native",31.22,13.68,6.8,"Brown","Female","Tree",604.37,1,2.6,"E","Small","Yes","Non-Avian"
"73","UK",54,-2,"Coastal","Native",33.3,14.25,6.89,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"74","UK",54,-2,"Coastal","Native",30.85,13.31,6.75,"Black","Female","Shrub",31.55,2,2.81,"E","Small","Yes","Non-Avian"
"75","UK",54,-2,"Coastal","Native",34.58,15.53,7.08,"Black","Male",NA,NA,NA,NA,"C","Medium","Yes","Non-Avian"
"76","UK",54,-2,"Coastal","Native",30.95,13.41,6.76,"Black","Female","Shrub",47.77,2,2.85,"C","Medium","Yes","Non-Avian"
"77","UK",54,-2,"Coastal","Native",31.51,13.96,6.84,"Black","Female","Tree",971.91,2,2.97,"C","Medium","Yes","Non-Avian"
"78","UK",54,-2,"Coastal","Native",33.57,14.53,6.93,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"79","UK",54,-2,"Coastal","Native",30.7,13.15,6.72,"Black","Female","Shrub",68.82,2,2.78,"D","Large","Yes","Non-Avian"
"80","UK",54,-2,"Coastal","Native",31.55,12.51,6.63,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"81","UK",54,-2,"Coastal","Native",34.37,15.33,7.05,"Grey","Male",NA,NA,NA,NA,"C","Medium","Yes","Non-Avian"
"82","UK",54,-2,"Coastal","Native",28.78,11.23,6.44,"Black","Female","Tree",1046.35,3,3.22,"E","Small","Yes","Non-Avian"
"83","UK",54,-2,"Coastal","Native",31.97,14.42,6.91,"Brown","Female","Tree",1247.78,2,2.8,"E","Small","Yes","Non-Avian"
"84","UK",54,-2,"Coastal","Native",32.63,13.58,6.79,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"85","UK",54,-2,"Coastal","Native",33.6,14.56,6.93,"Black","Male",NA,NA,NA,NA,"C","Medium","Yes","Non-Avian"
"86","UK",54,-2,"Coastal","Native",33.02,13.98,6.85,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"87","UK",54,-2,"Coastal","Native",33.18,15.64,7.1,"Black","Female","Tree",916.11,2,2.91,"D","Large","Yes","Non-Avian"
"88","UK",54,-2,"Coastal","Native",31.39,12.35,6.6,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"89","UK",54,-2,"Coastal","Native",32.68,15.14,7.02,"Black","Female","Tree",1694.57,2,3.02,"E","Small","Yes","Non-Avian"
"90","UK",54,-2,"Coastal","Native",34.55,15.5,7.08,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"91","UK",54,-2,"Coastal","Native",32.6,13.55,6.78,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"92","UK",54,-2,"Coastal","Native",30.14,11.09,6.41,"Black","Male",NA,NA,NA,NA,"C","Medium","Yes","Non-Avian"
"93","UK",54,-2,"Coastal","Native",33.07,14.02,6.85,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"94","UK",54,-2,"Coastal","Native",31.99,12.95,6.69,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"95","UK",54,-2,"Coastal","Native",31.88,14.34,6.9,"Brown","Female","Tree",951.42,2,2.75,"E","Small","Yes","Non-Avian"
"96","UK",54,-2,"Coastal","Native",32.88,13.84,6.83,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"97","UK",54,-2,"Coastal","Native",33.33,14.28,6.89,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"98","UK",54,-2,"Coastal","Native",32.91,13.86,6.83,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"99","UK",54,-2,"Coastal","Native",32.17,14.62,6.94,"Black","Female","Tree",1146.18,1,2.62,"E","Small","Yes","Non-Avian"
"100","UK",54,-2,"Coastal","Native",30.81,13.26,6.74,"Black","Female","Tree",1343.61,3,3.18,"E","Small","Yes","Non-Avian"
"101","UK",54,-2,"Coastal","Native",30.31,12.77,6.67,"Black","Female","Shrub",28.04,1,2.37,"C","Medium","Yes","Non-Avian"
"102","UK",54,-2,"Coastal","Native",30.5,12.95,6.69,"Black","Female","Shrub",43.8,2,3,"D","Large","Yes","Non-Avian"
"103","UK",54,-2,"Coastal","Native",29.36,11.82,6.52,"Black","Female","Tree",862.56,2,2.83,"E","Small","Yes","Non-Avian"
"104","UK",54,-2,"Coastal","Native",31.69,12.64,6.65,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"105","UK",54,-2,"Coastal","Native",30.53,12.99,6.7,"Black","Female","Tree",636.12,2,3.03,"D","Large","Yes","Non-Avian"
"106","UK",54,-2,"Coastal","Native",32.34,13.3,6.74,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"107","UK",54,-2,"Coastal","Native",30.71,13.16,6.72,"Brown","Female","Tree",1623.78,2,2.91,"E","Small","Yes","Non-Avian"
"108","UK",54,-2,"Coastal","Native",30.63,11.59,6.49,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"109","UK",54,-2,"Coastal","Native",31.75,12.7,6.66,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"110","UK",54,-2,"Coastal","Native",34.49,15.45,7.07,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"111","UK",54,-2,"Coastal","Native",31.71,14.17,6.88,"Brown","Female","Tree",191.13,3,3.25,"E","Small","Yes","Non-Avian"
"112","UK",54,-2,"Coastal","Native",33.08,15.54,7.08,"Black","Female","Tree",1307.51,1,2.59,"D","Large","Yes","Non-Avian"
"113","UK",54,-2,"Coastal","Native",30.79,13.24,6.74,"Brown","Female","Shrub",46.99,3,3.15,"E","Small","Yes","Non-Avian"
"114","UK",54,-2,"Coastal","Native",32.5,13.45,6.77,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"115","UK",54,-2,"Coastal","Native",30.91,13.36,6.75,"Black","Female","Tree",1012.53,3,3.22,"C","Medium","Yes","Non-Avian"
"116","UK",54,-2,"Coastal","Native",29.89,12.35,6.6,"Black","Female","Tree",1354.49,2,2.83,"E","Small","Yes","Non-Avian"
"117","UK",54,-2,"Coastal","Native",31.75,12.71,6.66,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"118","UK",54,-2,"Coastal","Native",34.66,15.61,7.09,"Grey","Male",NA,NA,NA,NA,"A","Large","Yes","Non-Avian"
"119","UK",54,-2,"Coastal","Native",30.53,12.98,6.7,"Black","Female","Tree",1151.29,1,2.34,"D","Large","Yes","Non-Avian"
"120","UK",54,-2,"Coastal","Native",32.37,14.82,6.97,"Brown","Female","Tree",1731.79,2,2.92,"E","Small","Yes","Non-Avian"
"121","UK",54,-2,"Coastal","Native",31.54,12.5,6.62,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"122","UK",54,-2,"Coastal","Native",29.13,11.58,6.49,"Black","Female","Tree",580.03,1,2.71,"E","Small","Yes","Non-Avian"
"123","UK",54,-2,"Coastal","Native",30.77,13.22,6.73,"Black","Female","Shrub",55.62,2,2.99,"D","Large","Yes","Non-Avian"
"124","UK",54,-2,"Coastal","Native",32.03,14.48,6.92,"Brown","Female","Tree",1556.37,2,2.89,"E","Small","Yes","Non-Avian"
"125","UK",54,-2,"Coastal","Native",32.23,14.68,6.95,"Black","Female","Tree",1684.13,2,2.98,"D","Large","Yes","Non-Avian"
"126","UK",54,-2,"Coastal","Native",32.76,15.22,7.03,"Black","Female","Tree",1001.73,2,2.89,"D","Large","Yes","Non-Avian"
"127","UK",54,-2,"Coastal","Native",29.3,11.76,6.51,"Black","Female","Shrub",41.4,2,3.04,"D","Large","Yes","Non-Avian"
"128","UK",54,-2,"Coastal","Native",33.12,15.58,7.09,"Black","Female","Shrub",74.77,2,2.77,"E","Small","Yes","Non-Avian"
"129","UK",54,-2,"Coastal","Native",30.39,12.84,6.68,"Black","Female","Tree",141.9,1,2.67,"D","Large","Yes","Non-Avian"
"130","UK",54,-2,"Coastal","Native",32.75,13.7,6.81,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"131","UK",54,-2,"Coastal","Native",31.6,14.05,6.86,"Black","Female","Tree",1167.03,1,2.71,"E","Small","Yes","Non-Avian"
"132","UK",54,-2,"Coastal","Native",31.77,12.73,6.66,"Grey","Male",NA,NA,NA,NA,"C","Medium","Yes","Non-Avian"
"133","UK",54,-2,"Coastal","Native",30.59,11.55,6.48,"Grey","Male",NA,NA,NA,NA,"B","Medium","Yes","Non-Avian"
"134","UK",54,-2,"Coastal","Native",32.11,13.07,6.71,"Black","Male",NA,NA,NA,NA,"C","Medium","Yes","Non-Avian"
"135","AU",-25,135,"Continental","Introduced",32.61,13.19,6.84,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"136","AU",-25,135,"Continental","Introduced",31.78,13.86,6.94,"Black","Female","Tree",663.32,0,NA,"E","Small","Yes","Non-Avian"
"137","AU",-25,135,"Continental","Introduced",33.84,14.41,7.02,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"138","AU",-25,135,"Continental","Introduced",32.42,13,6.81,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"139","AU",-25,135,"Continental","Introduced",32.27,14.35,7.01,"Black","Female","Shrub",30.57,0,NA,"D","Small","Yes","Non-Avian"
"140","AU",-25,135,"Continental","Introduced",32.11,14.18,6.99,"Black","Female","Tree",897.62,1,3.3,"D","Small","Yes","Non-Avian"
"141","AU",-25,135,"Continental","Introduced",33.66,14.24,7,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"142","AU",-25,135,"Continental","Introduced",34.69,15.27,7.15,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"143","AU",-25,135,"Continental","Introduced",30.86,12.93,6.8,"Black","Female","Tree",1090.58,0,NA,"C","Small","Yes","Non-Avian"
"144","AU",-25,135,"Continental","Introduced",33.34,15.42,7.17,"Black","Female","Tree",596.75,1,3.29,"D","Small","Yes","Non-Avian"
"145","AU",-25,135,"Continental","Introduced",31.33,13.41,6.87,"Black","Female","Tree",1068.52,1,3.25,"C","Small","Yes","Non-Avian"
"146","AU",-25,135,"Continental","Introduced",30.95,13.02,6.81,"Black","Female","Tree",1010.54,1,3.26,"C","Small","Yes","Non-Avian"
"147","AU",-25,135,"Continental","Introduced",31.36,13.44,6.88,"Black","Female","Tree",1029.9,1,3.47,"C","Small","Yes","Non-Avian"
"148","AU",-25,135,"Continental","Introduced",32.33,14.41,7.02,"Black","Female","Tree",1390.81,0,NA,"C","Small","Yes","Non-Avian"
"149","AU",-25,135,"Continental","Introduced",32.23,14.31,7.01,"Black","Female","Tree",573.4,1,3.5,"E","Small","Yes","Non-Avian"
"150","AU",-25,135,"Continental","Introduced",31.77,13.85,6.94,"Black","Female","Tree",1443.58,0,NA,"E","Small","Yes","Non-Avian"
"151","AU",-25,135,"Continental","Introduced",32.62,13.2,6.84,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"152","AU",-25,135,"Continental","Introduced",31.43,13.51,6.89,"Black","Female","Tree",739.33,0,NA,"D","Small","Yes","Non-Avian"
"153","AU",-25,135,"Continental","Introduced",33.3,15.38,7.17,"Brown","Female","Tree",604.07,0,NA,"E","Small","Yes","Non-Avian"
"154","AU",-25,135,"Continental","Introduced",33.78,14.35,7.01,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"155","AU",-25,135,"Continental","Introduced",33,13.58,6.9,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"156","AU",-25,135,"Continental","Introduced",32.63,13.21,6.84,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"157","AU",-25,135,"Continental","Introduced",33.37,13.95,6.95,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"158","AU",-25,135,"Continental","Introduced",31.91,12.49,6.73,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"159","AU",-25,135,"Continental","Introduced",33.09,13.67,6.91,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"160","AU",-25,135,"Continental","Introduced",31.34,13.41,6.87,"Black","Female","Tree",749.27,1,3.3,"D","Small","Yes","Non-Avian"
"161","AU",-25,135,"Continental","Introduced",33.24,15.31,7.16,"Black","Female","Shrub",40.61,1,3.28,"C","Small","Yes","Non-Avian"
"162","AU",-25,135,"Continental","Introduced",33.09,15.17,7.14,"Brown","Female","Shrub",48.88,0,NA,"E","Small","Yes","Non-Avian"
"163","AU",-25,135,"Continental","Introduced",32,14.08,6.97,"Black","Female","Tree",1088.43,0,NA,"C","Small","Yes","Non-Avian"
"164","AU",-25,135,"Continental","Introduced",30.94,13.02,6.81,"Black","Female","Tree",1053.22,0,NA,"D","Small","Yes","Non-Avian"
"165","AU",-25,135,"Continental","Introduced",34.48,15.05,7.12,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"166","AU",-25,135,"Continental","Introduced",34.43,15.01,7.11,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"167","AU",-25,135,"Continental","Introduced",34.3,14.88,7.09,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"168","AU",-25,135,"Continental","Introduced",34.31,14.89,7.1,"Black","Male",NA,NA,NA,NA,"C","Small","Yes","Non-Avian"
"169","AU",-25,135,"Continental","Introduced",33.22,13.8,6.93,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"170","AU",-25,135,"Continental","Introduced",34.28,14.86,7.09,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"171","AU",-25,135,"Continental","Introduced",33.38,15.45,7.18,"Brown","Female","Shrub",27.72,1,3.49,"E","Small","Yes","Non-Avian"
"172","AU",-25,135,"Continental","Introduced",33.62,14.19,6.99,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"173","AU",-25,135,"Continental","Introduced",31.1,13.17,6.84,"Black","Female","Tree",892.32,1,3.29,"C","Small","Yes","Non-Avian"
"174","AU",-25,135,"Continental","Introduced",NA,14.95,7.1,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"175","AU",-25,135,"Continental","Introduced",34.36,14.94,7.1,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"176","AU",-25,135,"Continental","Introduced",31.77,13.84,6.94,"Black","Female","Tree",666.44,0,NA,"D","Small","Yes","Non-Avian"
"177","AU",-25,135,"Continental","Introduced",35.28,15.85,7.24,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"178","AU",-25,135,"Continental","Introduced",31.28,13.36,6.87,"Black","Female","Tree",773.12,0,NA,"C","Small","Yes","Non-Avian"
"179","AU",-25,135,"Continental","Introduced",33.93,14.5,7.04,"Grey","Male",NA,NA,NA,NA,"C","Small","Yes","Non-Avian"
"180","AU",-25,135,"Continental","Introduced",31.31,11.89,6.64,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"181","AU",-25,135,"Continental","Introduced",33.41,13.99,6.96,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"182","AU",-25,135,"Continental","Introduced",34.71,15.28,7.15,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"183","AU",-25,135,"Continental","Introduced",33.12,13.7,6.92,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"184","AU",-25,135,"Continental","Introduced",31.18,13.25,6.85,"Black","Female","Tree",1428.51,0,NA,"E","Small","Yes","Non-Avian"
"185","AU",-25,135,"Continental","Introduced",34.3,14.88,7.09,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"186","AU",-25,135,"Continental","Introduced",32.77,13.34,6.86,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"187","AU",-25,135,"Continental","Introduced",32.34,14.42,7.02,"Black","Female","Tree",1069.93,0,NA,"E","Small","Yes","Non-Avian"
"188","AU",-25,135,"Continental","Introduced",30.34,12.42,6.72,"Brown","Female","Tree",797.53,0,NA,"E","Small","Yes","Non-Avian"
"189","AU",-25,135,"Continental","Introduced",30.67,12.74,6.77,"Black","Female","Tree",670.19,0,NA,"E","Small","Yes","Non-Avian"
"190","AU",-25,135,"Continental","Introduced",31.62,13.7,6.92,"Brown","Female","Tree",928.7,1,3.48,"E","Small","Yes","Non-Avian"
"191","AU",-25,135,"Continental","Introduced",32.54,13.12,6.83,"Black","Male",NA,NA,NA,NA,"C","Small","Yes","Non-Avian"
"192","AU",-25,135,"Continental","Introduced",34.94,15.52,7.19,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"193","AU",-25,135,"Continental","Introduced",34.49,15.07,7.12,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"194","AU",-25,135,"Continental","Introduced",32.79,13.37,6.87,"Grey","Male",NA,NA,NA,NA,"B","Large","Yes","Non-Avian"
"195","AU",-25,135,"Continental","Introduced",32.65,14.73,7.07,"Black","Female","Shrub",47.94,1,3.45,"E","Small","Yes","Non-Avian"
"196","AU",-25,135,"Continental","Introduced",34.5,15.07,7.12,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
"197","AU",-25,135,"Continental","Introduced",32.33,14.41,7.02,"Black","Female","Tree",416.73,1,3.23,"E","Small","Yes","Non-Avian"
"198","AU",-25,135,"Continental","Introduced",33.93,14.51,7.04,"Grey","Male",NA,NA,NA,NA,"A","Small","Yes","Non-Avian"
